id,parada,sentido,direccion,latitud,longitud
341,General Davila 89,Plaza de los Remedios,General Davila 89,"43,465257230241626","-3,8177551037866735"
342,General Davila 266,General Dávila,General Davila 266,"43,46432181743211","-3,820325392350776"
343,Cruce con Rucandial,Corban,Calle Julio Jaurena,"43,462966013956056","-3,865930286058724"
344,Autonomia 8,Lluja,Calle Autonomia  8,"43,48142923781402","-3,795413390023835"
345,Autonomia 3,Cueto,Calle Autonomia 3,"43,48253191876768","-3,792643668883104"
346,Autonomia 9,Lluja,Calle Autonomia frente numero 4,"43,48257575442647","-3,79209838445946"
347,Corbanera 95,El Castillo,Calle Corbanera 95,"43,476386514632814","-3,831606039440143"
348,El Castillo,Puertochico,Calle Corbanera,"43,477386383551305","-3,834659843281415"
325,Avenida Parayas Hotel Expres,Primero de Mayo,Avenida Parayas,"43,44105242964081","-3,837656530349173"
327,Primero de Mayo,Zoco,Avda Primero de Mayo,"43,44341590781085","-3,857271828128094"
329,Ricardo Lopez Aranda 22,Plaza de las Estaciones,Ricardo Lopez Aranda 22,"43,44100588910253","-3,8627999052104425"
330,Primero de Mayo 9,Plaza De Las Estaciones,Avenida Primero De Mayo 9,"43,44342233520772","-3,856954196501047"
332,Pedro San Martin 12,El Castillo,Avenida Pedro San Martin12,"43,46049701941935","-3,8292652347305536"
333,Caleruco,El Castillo,Bajada del Caleruco,"43,46207434757494","-3,830506433467361"
335,Grupo Ateca,El Castillo,Calle Repuente,"43,4697453156228","-3,8266359378223016"
336,Iglesia,El Castillo,San Pedro Del Mar,"43,471653520759936","-3,8304712895708746"
337,San Pedro Del Mar 64,El Castillo,San Pedro Del Mar 64,"43,4735446724869","-3,831125293512212"
338,El Empalme,Piquio,Calle El Empalme,"43,44878925420564","-3,8534503737201606"
312,Paseo de Pereda 35,Ojaiz,Paseo de Pereda nº 35,"43,46238919597843","-3,798094899487378"
313,Camilo Alonso Vega 10,Miranda,Camilo Alonso Vega.10,"43,45946466019285","-3,826424907823584"
314,Camilo Alonso Vega 9,Valdecilla,Camilo Alonso Vega.9,"43,45956181386839","-3,8265503407180055"
316,Valdecilla,A.Odriozola,Avenida de Valdecilla,"43,457367424279695","-3,8300824287068234"
318,General Davila  208,Via Cornelia,General Davila nº 208,"43,46763235130639","-3,8127114239449016"
319,Bajada la Encina s/n,Plaza Italia,Bajada la Encina s/n,"43,470742998640496","-3,789130049008684"
320,Cruce Vicente Trueba,Centro,Avenida Vicente Trueba,"43,45586800781956","-3,8563897021229567"
322,Avenida de Cantabria 10,Tunel de Puertochico,Avenida de Cantabria 10,"43,47901635624031","-3,793153896764149"
323,Avenida Cantabria 12,Complejo,Avenida Cantabria 12,"43,47900753414331","-3,7937265660115256"
324,Mataleñas,El Faro,Avenida del Faro - Pintor Eduardo Sanz,"43,48618512470832","-3,789302213555621"
302,Grupo San Francisco,Tunel de Puertochico,General Davila,"43,46302633229198","-3,824874242793511"
303,General Davila 314,Tunel de Puertochico,General Davila 314,"43,46174005427447","-3,829444660054107"
304,Facultad de Medicina,Tunel de Puertochico,Cardenal Herrera Oria,"43,459654155679466","-3,834573642935818"
305,Cardenal Herrera Oria 26,Complejo,Cardenal Herrera Oria 26,"43,45887734234585","-3,8389456999898544"
306,Cardenal Herrera Oria 42,Tunel de Puertochico,Cardenal Herrera Oria 42,"43,458583615855055","-3,843405943539355"
307,Cardenal Herrera Oria 76,Tunel de Puertochico,Cardenal Herrera Oria 76,"43,45771476862009","-3,846516799621784"
308,Residencia Santa Lucia,Tunel de puertochico,Cardenal Herrera Oria,"43,45621025519438","-3,851512106672681"
309,Cardenal Herrera Oria  130,Tunel de Puertochico,Cardenal Herrera Oria nº 130,"43,45502728796936","-3,855433515154042"
310,Avenida del Deporte 15,Tunel de Puertochico,Avenida del Deporte 15,"43,45957585748712","-3,855778705337044"
311,Ojaiz,Piquio,Calle Ojaiz,"43,44175314711181","-3,8804731648394535"
291,Calle Repuente 43,Tunel de Puertochico,Calle Repuente 43,"43,46406685163971","-3,834939936241336"
292,Calle Repuente 26,Tunel de Puertochico,Calle Repuente ,"43,467092154885535","-3,831964487903649"
293,Calle Repuente 15,Tunel de Puertochico,Calle Repuente ,"43,46916785391345","-3,828218011965118"
294,Barrio la Torre 123,Tunel de Puertochico,Barrio la Torre 123,"43,46997706955479","-3,824279246731768"
295,Barrio la Torre 95,Tunel de Puertochico,Barrio la Torre 95,"43,47147906404483","-3,821141906972545"
296,Jorge Sepulveda 11,Tunel de Puertochico,Jorge Sepulveda,"43,47427850266171","-3,8115698665454776"
297,Avenida Cantabria 43,Tunel de Puertochico,Avenida Cantabria 43,"43,47510363826599","-3,809057281077226"
298,Padre Menni 1,Tunel de puertochico,Avenida Cantabria,"43,47629953341304","-3,803034831550023"
299,Avenida Cantabria 11,Tunel de Puertochico,Avenida Cantabria 11,"43,47753635227469","-3,7975557632812422"
301,Alcalde Vega Lamera 1,Tunel de Puertochico,Alcalde Vega Lamera,"43,47315883632105","-3,793437300477492"
279,Colegio La Salle,Valdecilla,Camilo Alonso Vega 33,"43,46243607257554","-3,82386315237109"
280,Camilo Alonso Vega 19,General Dávila,Camilo Alonso Vega 19,"43,4603860677254","-3,8258171464292983"
283,Menendez Pelayo 14,General Dávila,Menendez Pelayo 14,"43,465681619217946","-3,798082356254053"
284,Menendez Pelayo 46,General Dávila,Menendez Pelayo 46,"43,4666848647641","-3,7955526126290913"
285,Menendez Pelayo 76,General Dávila,Menendez Pelayo 76,"43,46712745397166","-3,7924930485097694"
286,Los Pinares,General Dávila,Avenida Los Infantes,"43,47137001995964","-3,787762195754007"
287,Cuesta de la  Atalaya  2,General Davila,Cuesta de la  Atalaya nº 2,"43,46388456913978","-3,807801656351614"
288,Complejo deportivo,Tunel de Puertochico,Avenida del Deporte 13,"43,46018872388765","-3,852673268083152"
289,Avenida del Deporte 6,Tunel de Puertochico,Avenida del Deporte nº 6,"43,46127045180282","-3,847942887808784"
290,Lavapies 1,Tunel de Puertochico,Calle Lavapies 1,"43,46267939477059","-3,8388988695412736"
269,Bajada la Encina 1,Plaza de los Remedios,Bajada la Encina 1,"43,468850523635545","-3,791625015566519"
270,Fernando Calderon Rueda 6,Plaza de los Remedios,Fernando Calderon Rueda 6,"43,4704486363446","-3,7891829675332698"
271,Miranda,Miranda 5C2,General Davila 6,"43,46816873368546","-3,788796227411247"
272,General Davila 28,General Dávila,General Davila 28,"43,46859536925934","-3,792871896172079"
273,General Davila 58,General Dávila,General Davila 58,"43,468503122186384","-3,7976407892634745"
274,General Davila 84,Valdecilla,General Davila 84,"43,46765427137586","-3,801956612008775"
275,General Davila 122,General Dávila,General Davila 122,"43,467433146444826","-3,805594631807758"
276,Los Salesianos,General Dávila,General Davila,"43,467567344691645","-3,809330215685133"
277,General Davila 224,General Dávila,General Davila 224,"43,46731836352774","-3,814737981763921"
278,General Davila 256,General Dávila,General Davila 256,"43,465416074820055","-3,8177293057929247"
259,Guevara 15,Plaza de los Remedios,Guevara 15,"43,463714345023625","-3,807424190782668"
260,Plaza de los Remedios,Plaza de los Remedios,Plaza de los Remedios,"43,46271989352758","-3,808672636970086"
261,Camilo Alonso Vega 22,Plaza de los Remedios,Camilo Alonso Vega 22,"43,46059554194287","-3,825426150874272"
262,Camilo Alonso Vega 32,Plaza de los Remedios,Camilo Alonso Vega 32,"43,46240081529476","-3,823694920700545"
263,Las Mercedarias,Plaza de los Remedios,Paseo General Davila,"43,46440285050807","-3,8197482927245527"
264,General Davila 87,Plaza de los Remedios,Paseo General Davila 87,"43,46717049036322","-3,8147533024397857"
265,Los Salesianos,Plaza de los Remedios,Paseo General Davila 73,"43,467379152350894","-3,808705591134062"
266,Prado San Roque,Plaza de los Remedios,Paseo General Davila,"43,46724589944163","-3,8062528291424567"
267,General Dávila 41,Plaza de los Remedios,Paseo General Davila 41,"43,46774497016544","-3,801117608571435"
268,Santa Clotilde,Plaza de los Remedios,Paseo General Davila,"43,4684194359276","-3,7975681033216224"
249,Marques de la Hermida 1,Piquio,Marques de la Hermida 1,"43,45567787755735","-3,8123109731395046"
250,Estaciones,Piquio,Calle Atilano Rodriguez,"43,45931495853284","-3,8106395718689914"
251,Plaza de Italia Casino,General Dávila,Avenida Castañeda,"43,47204697888024","-3,7822614294134898"
252,Reina Victoria  117,General Dávila,Avenida Reina Victoria 117,"43,46986431428685","-3,777500353430356"
253,Perez Galdos 17,General Dávila,Perez Galdos 17,"43,46642965746424","-3,784914050601623"
254,Miranda ,Miranda 5C1,Avenida Infantes 7,"43,46871316131504","-3,787837708353153"
255,Menendez Pelayo 97,Plaza de los Remedios,Menendez Pelayo 97,"43,46728127464903","-3,792163719988631"
256,Menendez Pelayo 61,Plaza de los Remedios,Menendez Pelayo 61,"43,466681580678944","-3,7959608005502687"
257,Valliciergo 7,Plaza de los Remedios,Valliciergo 7,"43,464701493626","-3,800336383856145"
258,Santa Lucia 1,Plaza de los Remedios,Santa Lucia 1,"43,46395230896263","-3,803845464288909"
238,Deposito Municipal,Ojaiz,Calle Jose Estrañi,"43,44143459422046","-3,877912012678162"
239,Las Estaciones,Bº Pesquero,Atilano Rodriguez,"43,459096681707486","-3,81075495303851"
240,Calle Castilla 27,Bº Pesquero,Calle Castilla 27,"43,45748078534457","-3,812854280643818"
241,Calle Castilla 51,Bº Pesquero,Calle Castilla 51,"43,455740461726094","-3,8175349866759984"
242,Calle Castilla71,Bº Pesquero,Calle Castilla71,"43,45455227909671","-3,8207862414009743"
243,Calle Castilla 64,Bº Pesquero,Calle Castilla (La Marga),"43,45312627675901","-3,8249387904763696"
244,La Lonja,Bº Pesquero,Marques de la Hermida S/N,"43,45327082973958","-3,8211143787494"
245,Marques de la Hermida 36,Bº Pesquero,Marques de la Hermida 36,"43,45401082191248","-3,818423634205528"
246,Barrio Pesquero,Piquio,Barrio Pesquero,"43,45214393512633","-3,8187724714899582"
248,Marques de la Hermida 15,Piquio,Marques de la Hermida 15,"43,45481308304143","-3,8154770573544985"
228,Cajo 10,Ojaiz,Cajo,"43,4546649576687","-3,83501367275264"
229,Parque Doctor Morales,Ojaiz,Cajo,"43,45427033512903","-3,838407749983707"
230,Las Californias,Ojaiz,Campogiro,"43,45453457770029","-3,842974541971973"
231,Campogiro 90,Ojaiz,Campogiro 90,"43,45310825838367","-3,847025091100391"
232,Alto de la Peña,Ojaiz,Campogiro,"43,45117466059841","-3,849232655409619"
233,El Empalme 6,Ojaiz,El Empalme 6,"43,4490038123393","-3,852969406158476"
234,Los Llanos,Ojaiz,El Empalme,"43,44810174349846","-3,8579971991577273"
235,Escuelas Peñacastillo ,Ojaiz,El Empalme,"43,4476202499994","-3,860701057264991"
236,Calle La Peña,Ojaiz,El Empalme 107,"43,44786072265056","-3,863768848599889"
237,Camarreal 68,Ojaiz,Camarreal 68,"43,446481081051786","-3,870261463315739"
217,Iglesia la Peña,Piquio,Camarreal 9,"43,44780321119271","-3,86418304040605"
218,Peñacastillo Escuelas,Piquio,El Empalme 44,"43,447545022089685","-3,860586537525356"
219,Los Llanos,Piquio,El Empalme 12,"43,44801188516696","-3,857984312691224"
220,Campogiro 23,Piquio,Campogiro 23,"43,45101288960652","-3,849190842310448"
221,Campogiro,Piquio,Campogiro,"43,4536339225839","-3,846175358775091"
222,Campogiro 5,Piquio,Campogiro 5,"43,45453291099826","-3,842467118318652"
223,Cajo 17,Piquio,Calle Cajo 17,"43,45416330486295","-3,838353987070739"
224,Cajo 5,Piquio,Calle Cajo 5,"43,45491034660073","-3,8338503301848808"
226,Rectorado,Bº Pesquero,Avenida los Castros 56,"43,47018363567295","-3,805830232683563"
227,Cajo 2 ,Ojaiz,Cajo 2,"43,4553394966401","-3,832898764453362"
207,Jose Maria Cossio 12,Pctcan,Jose Maria Cossio 12,"43,459831059861045","-3,841502902321334"
208,Jose Maria Cossio 24,Pctcan,Jose Maria Cossio 24,"43,45981399633043","-3,8435277436554327"
209,Jose Maria Cossio 44,Pctcan,Jose Maria Cossio 44,"43,45945515127322","-3,8466399645749"
210,Jose Mª Cossio 52,Pctcan,Jose Maria Cossio 52,"43,45914186397256","-3,848588335847862"
211,Los Ciruelos 26,Pctcan,Los Ciruelos 26,"43,458417424543605","-3,852446531678596"
212,Carrefour Alisal,Pctcan,Joaquin Rodrigo,"43,45625707600063","-3,8613276789487903"
213,Decatlhon,Pctcan,Joaquin Rodrigo,"43,455230546724735","-3,8640437685029982"
214,Castelar,A.Odriozola,Castelar ,"43,46272874161918","-3,792921153512133"
215,Barrio de Ojaiz 7,Piquio,Barrio Ojaiz 7,"43,44144024731587","-3,881737007436812"
216,Camarreal 109,Piquio,Camarreal 109,"43,44628690590442","-3,8706101572849274"
197,Castelar 1,Pctcan,Castelar 1,"43,46314940844424","-3,7962520458204048"
198,Paseo de Pereda,Pctcan,Paseo de Pereda 18,"43,46204178132793","-3,801628594934832"
199,Correos 2,Pctcan,Calvo Sotelo  21,"43,4615661945415","-3,807019047795088"
200,Plaza Ayuntamiento,Pctcan,Jesus de Monasterio,"43,46165625579484","-3,810178236239193"
201,Jesus de Monasterio 12,Pctcan,Jesus de Monasterio 12,"43,46182084614961","-3,812822073945783"
202,San Fernando 22,Pctcan,San Fernando 22,"43,46040118332919","-3,819868517837597"
203,San Fernando 66,Pctcan,San Fernando 66,"43,45922204609867","-3,824268602991151"
204,Avenida de Valdecilla,Pctcan,Avenida de Valdecilla  24,"43,45753626421211","-3,830416881297232"
205,Torres Quevedo 22,Pctcan,Torres Quevedo  22,"43,45730837026196","-3,83720235773161"
206,Plaza Manuel LLano ,Pctcan,Plaza Manuel LLano,"43,45820387953963","-3,8407150544352326"
186,Valdenoja 3,Pctcan,Valdenoja 3,"43,48115191249047","-3,7899367034403215"
188,Plaza Doctor Fleming,Pctcan,Glorieta Doctor Fleming,"43,47569932404965","-3,788913518312492"
189,Piquio,Pctcan,Avenida Castañeda,"43,47361519115665","-3,784598068891485"
190,Plaza de Italia,Pctcan,Avenida Castañeda,"43,471855264259865","-3,7820247753047176"
191,Reina Victoria 129,Pctcan,Avenida Reina Victoria 129,"43,47097362461923","-3,778662715651276"
192,La Magdalena,Pctcan,Avenida Reina Victoria 111,"43,46900349726916","-3,7770193676017176"
193,Gonzalez de Riancho,Pctcan,Avenida Reina Victoria,"43,465919343359225","-3,780284751870883"
194,Reina Victoria 79,Pctcan,Avenida Reina Victoria 79,"43,46436712863498","-3,7837473767630456"
195,San Martin,Pctcan,Avenida Reina Victoria 37,"43,46355860246141","-3,788256457448661"
196,Castelar 29,Pctcan,Castelar 29,"43,46293227678695","-3,793059925021207"
175,Valdenoja 50,A.Odriozola,Valdenoja 50,"43,480955935169554","-3,793192639849468"
176,Manuel Gonzalez Hoyos 7,A.Odriozola,Manuel Gonzalez Hoyos 7,"43,480711236284016","-3,795890694159769"
178,Consuelo Berges 22,Corban,Consuelo Berges 22,"43,478522126347336","-3,801415727224832"
179,Jose Maria Gonzalez Trevilla 4,A.Odriozola,Jose Maria Gonzalez Trevilla 4,"43,4818518521551","-3,79617389529102"
180,Jose Maria Gonzalez Trevilla ,Lluja,Jose Maria Gonzalez Trevilla S/N,"43,48379850522853","-3,7967998644714"
181,Arsenio Odriozola 16,Pctcan,Arsenio Odriozola 16,"43,48368121602302","-3,7928971341641775"
182,Doctor Diego Madrazo,Pctcan,Avenida Doctor Diego Madrazo,"43,4825743480786","-3,795918875794833"
183,Concha Espina 18,Pctcan,Concha Espina 10,"43,47914874786684","-3,797213313980352"
184,Manuel Gonzalez Hoyos 39,Pctcan,Manuel Gonzalez Hoyos 39,"43,48068816651194","-3,795776873148288"
185,Valdenoja 25,Pctcan,Valdenoja 25,"43,4808729640728","-3,792742166689436"
164,Puertochico,A.Odriozola,C/ Muelle de Calderon,"43,46215938740064","-3,797411960409647"
165,Reina Victoria 18,A.Odriozola,Avenida Reina Victoria 18,"43,46341976130125","-3,788320668802154"
166,Avenida Reina Victoria ,A.Odriozola,Avenida Reina Victoria S/N,"43,46450719009166","-3,7828182662236176"
167,Avenida Reina Victoria 38,A.Odriozola,Avenida Reina Victoria 38,"43,4662964530688","-3,779410457658059"
168,La Magdalena,A.Odriozola,Avenida Reina Victoria,"43,46870624138033","-3,776449794994573"
169,Luis Martinez,A.Odriozola,Avenida Reina Victoria,"43,471072944163694","-3,7785832537192574"
170,Plaza de Italia 3,A.Odriozola,Avenida Reina Victoria nº 3,"43,47215234883893","-3,7821003209758577"
171,Parque Piquio ,A.Odriozola,Avenida Castañeda,"43,47427177640208","-3,7851152577526976"
172,Doctor Fleming ,A.Odriozola,Avenida Castañeda,"43,47562295451712","-3,788207713705182"
174,Valdenoja 32,A.Odriozola,Valdenoja 32,"43,48130874061842","-3,789744966811798"
76,Casimiro Sainz 6,Complejo,Casimiro Sainz 6,"43,4641653326635","-3,796636013742649"
77, Escolapios,Carrefour,Canalejas 8,"43,464468634637925","-3,794855322221976"
78,Canalejas 26,Carrefour,Canalejas 26,"43,464836778080105","-3,791254757997088"
