airline,flight_number,departure_airport,arrival_airport,status
Suparna Airlines,7941,Shanghai Pudong International,Tianjin Binhai International,scheduled
Suparna Airlines,7929,Shanghai Pudong International,Beijing Capital International,scheduled
Suparna Airlines,7405,Shanghai Pudong International,Tianjin Binhai International,scheduled
Air China LTD,8417,Shanghai Pudong International,Los Angeles International,scheduled
Air China LTD,8411,Shanghai Pudong International,Ted Stevens Anchorage International Airport,scheduled
